key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_[101.0__0__101.0__0__0__0],"[101.0, 0, 101.0, 0, 0, 0]",4.467677169145215e-14,1.1464823562986739e-17,7.876521308994439e-15,3.630212602017267e-16,1.1464823562986739e-17,5.005803798228831e-14,5.859187882928561e-16,7.114290307161868e-15,7.876521308994439e-15,5.859187882928561e-16,9.78778762345119e-14,3.707842752993491e-14,3.630212602017267e-16,7.114290307161868e-15,3.707842752993491e-14,9.815220739710799e-14
clockmon_[101.0__0__110.0__0__0__0],"[101.0, 0, 110.0, 0, 0, 0]",4.4912003944256583e-14,1.210023695513611e-17,7.883983663747653e-15,3.628855609559408e-16,1.210023695513611e-17,5.124034541620441e-14,6.257991045265884e-16,7.582138301867236e-15,7.883983663747653e-15,6.257991045265884e-16,9.792126195972909e-14,3.709038053831655e-14,3.628855609559408e-16,7.582138301867236e-15,3.709038053831655e-14,9.789327823914196e-14
clockmon_[101.0__0__119.0__0__0__0],"[101.0, 0, 119.0, 0, 0, 0]",4.4671382613466756e-14,1.254719817999243e-17,7.876027424447106e-15,3.626657984736425e-16,1.254719817999243e-17,5.198715570241715e-14,6.671725236636628e-16,8.021817592216326e-15,7.876027424447106e-15,6.671725236636628e-16,9.782035601905367e-14,3.704813445893877e-14,3.626657984736425e-16,8.021817592216326e-15,3.704813445893877e-14,9.758988854275977e-14
clockmon_[101.0__0__128.0__0__0__0],"[101.0, 0, 128.0, 0, 0, 0]",4.467103890899674e-14,1.3087434400747209e-17,7.876034697154614e-15,3.624460188219321e-16,1.3087434400747209e-17,5.296219004537743e-14,7.12111259760984e-16,8.464370832967537e-15,7.876034697154614e-15,7.12111259760984e-16,9.779222060757183e-14,3.703344064865285e-14,3.624460188219321e-16,8.464370832967537e-15,3.703344064865285e-14,9.732442627534008e-14
clockmon_[101.0__0__137.0__0__0__0],"[101.0, 0, 137.0, 0, 0, 0]",4.4911148321444376e-14,1.363401751112418e-17,7.883819742341398e-15,3.623486777057839e-16,1.363401751112418e-17,5.4148148298504386e-14,7.602197907858999e-16,8.906732352233751e-15,7.883819742341398e-15,7.602197907858999e-16,9.783567975136855e-14,3.704671332664376e-14,3.623486777057839e-16,8.906732352233751e-15,3.704671332664376e-14,9.709687026989992e-14
clockmon_[101.0__0__146.0__0__0__0],"[101.0, 0, 146.0, 0, 0, 0]",4.490100932020977e-14,1.413545323692423e-17,7.881465556242644e-15,3.620614192959076e-16,1.413545323692423e-17,5.51039619065629e-14,8.117238825883503e-16,9.324770398556322e-15,7.881465556242644e-15,8.117238825883503e-16,9.779551140589369e-14,3.702777734317123e-14,3.620614192959076e-16,9.324770398556322e-15,3.702777734317123e-14,9.683633452301133e-14
clockmon_[101.0__0__155.0__0__0__0],"[101.0, 0, 155.0, 0, 0, 0]",4.4917919897567095e-14,1.470042480685141e-17,7.882496656704957e-15,3.619430986290932e-16,1.470042480685141e-17,5.612901769815986e-14,8.676010957721618e-16,9.731184786693678e-15,7.882496656704957e-15,8.676010957721618e-16,9.776456609949076e-14,3.701385620678972e-14,3.619430986290932e-16,9.731184786693678e-15,3.701385620678972e-14,9.65863128200055e-14
clockmon_[101.0__0__164.0__0__0__0],"[101.0, 0, 164.0, 0, 0, 0]",4.49045983272424e-14,1.529188446699114e-17,7.881577835052692e-15,3.617404757265486e-16,1.529188446699114e-17,5.710783883176268e-14,9.27920785416698e-16,1.011987329701171e-14,7.881577835052692e-15,9.27920785416698e-16,9.772375114169039e-14,3.699266735880784e-14,3.617404757265486e-16,1.011987329701171e-14,3.699266735880784e-14,9.63388710047274e-14
clockmon_[101.0__0__173.0__0__0__0],"[101.0, 0, 173.0, 0, 0, 0]",4.490459008356993e-14,1.588817100217733e-17,7.8815781745075e-15,3.6157969980828383e-16,1.588817100217733e-17,5.812255222339385e-14,9.933322245551999e-16,1.049551710023737e-14,7.8815781745075e-15,9.933322245551999e-16,9.768254481010886e-14,3.697386494379924e-14,3.6157969980828383e-16,1.049551710023737e-14,3.697386494379924e-14,9.61028745813872e-14
clockmon_[101.0__0__182.0__0__0__0],"[101.0, 0, 182.0, 0, 0, 0]",4.4902944026891975e-14,1.649111687348786e-17,7.881506585638611e-15,3.614010650056254e-16,1.649111687348786e-17,5.913358130249089e-14,1.064317695384802e-15,1.083974759146456e-14,7.881506585638611e-15,1.064317695384802e-15,9.763660661086737e-14,3.695476920253602e-14,3.614010650056254e-16,1.083974759146456e-14,3.695476920253602e-14,9.58757961569481e-14
