key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_sensing_104.0_0_0_104.0_0_0,"[104.0, 0, 0, 104.0, 0, 0]",4.483186893339956e-14,8.073407369943631e-18,8.161029429078594e-15,3.171196455600963e-16,8.073407369943631e-18,4.4825007910503193e-14,3.174866569346225e-16,8.161749155764324e-15,8.161029429078594e-15,3.174866569346225e-16,1.127868588078364e-13,4.025038744004551e-14,3.171196455600963e-16,8.161749155764324e-15,4.025038744004551e-14,1.1278840440303766e-13
clockmon_sensing_104.0_0_0_132.0_0_0,"[104.0, 0, 0, 132.0, 0, 0]",4.483199745172752e-14,9.199773112680323e-18,8.161421769345812e-15,3.168323691909344e-16,9.199773112680323e-18,4.664879551643006e-14,3.637721109411205e-16,9.682670728192724e-15,8.161421769345812e-15,3.637721109411205e-16,1.1276369363875375e-13,4.023020612657802e-14,3.168323691909344e-16,9.682670728192724e-15,4.023020612657802e-14,1.1201566777950581e-13
clockmon_sensing_104.0_0_0_160.0_0_0,"[104.0, 0, 0, 160.0, 0, 0]",4.483103184994592e-14,1.032409895945206e-17,8.160742998189804e-15,3.16035880069975e-16,1.032409895945206e-17,4.851472711587765e-14,4.097551877440378e-16,1.120548815892542e-14,8.160742998189804e-15,4.097551877440378e-16,1.127350829038094e-13,4.021113288155167e-14,3.16035880069975e-16,1.120548815892542e-14,4.021113288155167e-14,1.1121819821151054e-13
clockmon_sensing_104.0_0_0_188.0_0_0,"[104.0, 0, 0, 188.0, 0, 0]",4.482953854532067e-14,1.143776736387972e-17,8.160734038648511e-15,3.154813914040634e-16,1.143776736387972e-17,5.0385480137605085e-14,4.556482041685131e-16,1.272306695483376e-14,8.160734038648511e-15,4.556482041685131e-16,1.127098942181571e-13,4.019083976943965e-14,3.154813914040634e-16,1.272306695483376e-14,4.019083976943965e-14,1.1042056091404881e-13
clockmon_sensing_104.0_0_0_20.0_0_0,"[104.0, 0, 0, 20.0, 0, 0]",4.483471998171825e-14,4.698412672243877e-18,8.161249142020865e-15,3.187915745828936e-16,4.698412672243877e-18,3.977511731758047e-14,1.807472060231563e-16,3.611132044662125e-15,8.161249142020865e-15,1.807472060231563e-16,1.1286201278363698e-13,4.03161094312208e-14,3.187915745828936e-16,3.611132044662125e-15,4.03161094312208e-14,1.150624929147783e-13
clockmon_sensing_104.0_0_0_216.0_0_0,"[104.0, 0, 0, 216.0, 0, 0]",4.4828549972386567e-14,1.2587617162372468e-17,8.1608234203631e-15,3.152184646421386e-16,1.2587617162372468e-17,5.2295307951486406e-14,5.014873208591023e-16,1.423337711250281e-14,8.1608234203631e-15,5.014873208591023e-16,1.1268641847107412e-13,4.016950505996119e-14,3.152184646421386e-16,1.423337711250281e-14,4.016950505996119e-14,1.0962234493948287e-13
clockmon_sensing_104.0_0_0_244.0_0_0,"[104.0, 0, 0, 244.0, 0, 0]",4.4818339949801083e-14,1.370584392192762e-17,8.160352694879904e-15,3.148138261696426e-16,1.370584392192762e-17,5.4181424048625025e-14,5.466462989731329e-16,1.572601534609645e-14,8.160352694879904e-15,5.466462989731329e-16,1.1265080530043416e-13,4.01484240772193e-14,3.148138261696426e-16,1.572601534609645e-14,4.01484240772193e-14,1.0881588345961452e-13
clockmon_sensing_104.0_0_0_272.0_0_0,"[104.0, 0, 0, 272.0, 0, 0]",4.481482452187217e-14,1.480765604863533e-17,8.1596375438128e-15,3.142523785774969e-16,1.480765604863533e-17,5.6114746068340993e-14,5.911890103231514e-16,1.721438974920282e-14,8.1596375438128e-15,5.911890103231514e-16,1.126126610309648e-13,4.0127151683218846e-14,3.142523785774969e-16,1.721438974920282e-14,4.0127151683218846e-14,1.0801745281468802e-13
clockmon_sensing_104.0_0_0_300.0_0_0,"[104.0, 0, 0, 300.0, 0, 0]",4.481419229865112e-14,1.59047836682067e-17,8.159635293929966e-15,3.137879989037593e-16,1.59047836682067e-17,5.807498798020305e-14,6.352073330764065e-16,1.869125760847511e-14,8.159635293929966e-15,6.352073330764065e-16,1.1258684639290633e-13,4.01077595290983e-14,3.137879989037593e-16,1.869125760847511e-14,4.01077595290983e-14,1.0721769287028845e-13
clockmon_sensing_104.0_0_0_48.0_0_0,"[104.0, 0, 0, 48.0, 0, 0]",4.482093433429123e-14,5.791340984312597e-18,8.160058918299199e-15,3.1812985968240626e-16,5.791340984312597e-18,4.129465858400766e-14,2.24919052981711e-16,5.112010611182483e-15,8.160058918299199e-15,2.24919052981711e-16,1.1281964829041022e-13,4.029022173164098e-14,3.1812985968240626e-16,5.112010611182483e-15,4.029022173164098e-14,1.1433513477676993e-13
