key,coupler_widths,C11,C12,C13,C14,C15,C21,C22,C23,C24,C25,C31,C32,C33,C34,C35,C41,C42,C43,C44,C45,C51,C52,C53,C54,C55
clockmon_0_0_0_138.0_132.0_132.0,"[0, 0, 0, 138.0, 132.0, 132.0]",4.708276434128462e-14,4.540121190666856e-17,1.590327047993272e-17,4.3596851646479877e-16,9.861641191413015e-15,4.540121190666856e-17,5.162902932200042e-14,1.113470333360687e-16,7.223616819652309e-16,9.460905479662794e-15,1.590327047993272e-17,1.113470333360687e-16,5.166351126619032e-14,9.475457448856103e-15,7.176952588146137e-16,4.3596851646479877e-16,7.223616819652309e-16,9.475457448856103e-15,9.922721003568226e-14,3.7762005904337526e-14,9.861641191413015e-15,9.460905479662794e-15,7.176952588146137e-16,3.7762005904337526e-14,9.395334854269954e-14
clockmon_0_0_0_138.0_132.0_166.0,"[0, 0, 0, 138.0, 132.0, 166.0]",4.7353608472302045e-14,4.5303345925635815e-17,1.848261164492027e-17,4.355420634993177e-16,9.868229040244193e-15,4.5303345925635815e-17,5.186328034595138e-14,1.431774727752245e-16,7.1315601571624e-16,9.472726416571487e-15,1.848261164492027e-17,1.431774727752245e-16,5.516466308115984e-14,1.117390646338457e-14,9.239284406464578e-16,4.355420634993177e-16,7.1315601571624e-16,1.117390646338457e-14,9.829231674480512e-14,3.771460033794935e-14,9.868229040244193e-15,9.472726416571487e-15,9.239284406464578e-16,3.771460033794935e-14,9.38576974919606e-14
clockmon_0_0_0_138.0_132.0_200.0,"[0, 0, 0, 138.0, 132.0, 200.0]",4.706250182877591e-14,4.535506219917092e-17,2.133217978107048e-17,4.343778546880584e-16,9.860902732589113e-15,4.535506219917092e-17,5.156009669585811e-14,1.896055305873961e-16,6.990730607579967e-16,9.45098990234756e-15,2.133217978107048e-17,1.896055305873961e-16,5.847168964831112e-14,1.254229294264894e-14,1.2068597766430792e-15,4.343778546880584e-16,6.990730607579967e-16,1.254229294264894e-14,9.739159119400753e-14,3.7612868657317e-14,9.860902732589113e-15,9.45098990234756e-15,1.2068597766430792e-15,3.7612868657317e-14,9.365426400691396e-14
clockmon_0_0_0_138.0_132.0_30.0,"[0, 0, 0, 138.0, 132.0, 30.0]",4.7080112572486524e-14,4.541985258029859e-17,8.912056857012519e-18,4.387156943469118e-16,9.862362429739484e-15,4.541985258029859e-17,5.164946469296172e-14,5.530589698359738e-17,7.438011964593813e-16,9.462968893619573e-15,8.912056857012519e-18,5.530589698359738e-17,4.240724863977385e-14,3.639828073388106e-15,3.264177332496754e-16,4.387156943469118e-16,7.438011964593813e-16,3.639828073388106e-15,1.0237334780781942e-13,3.791350168088357e-14,9.862362429739484e-15,9.462968893619573e-15,3.264177332496754e-16,3.791350168088357e-14,9.417584102327559e-14
clockmon_0_0_0_138.0_132.0_64.0,"[0, 0, 0, 138.0, 132.0, 64.0]",4.707162924579009e-14,4.542492239170927e-17,1.113523439270485e-17,4.378205271435775e-16,9.86209438816911e-15,4.542492239170927e-17,5.1637183250183277e-14,7.024467398108934e-17,7.377494061854153e-16,9.462260690584076e-15,1.113523439270485e-17,7.024467398108934e-17,4.531274324662585e-14,5.646621416864649e-15,4.363999354365776e-16,4.378205271435775e-16,7.377494061854153e-16,5.646621416864649e-15,1.0131606443602512e-13,3.786769799135514e-14,9.86209438816911e-15,9.462260690584076e-15,4.363999354365776e-16,3.786769799135514e-14,9.41124342225591e-14
clockmon_0_0_0_138.0_132.0_98.0,"[0, 0, 0, 138.0, 132.0, 98.0]",4.708263240611578e-14,4.541977253214513e-17,1.34700305409144e-17,4.368631623787645e-16,9.862308653831915e-15,4.541977253214513e-17,5.163985859759429e-14,8.8611603922346e-17,7.306445723552554e-16,9.461461028283567e-15,1.34700305409144e-17,8.8611603922346e-17,4.8443726453532313e-14,7.609931302833784e-15,5.619493731576287e-16,4.368631623787645e-16,7.306445723552554e-16,7.609931302833784e-15,1.002572487027739e-13,3.781867424848028e-14,9.862308653831915e-15,9.461461028283567e-15,5.619493731576287e-16,3.781867424848028e-14,9.404354100874922e-14
clockmon_0_0_0_138.0_166.0_132.0,"[0, 0, 0, 138.0, 166.0, 132.0]",4.705349100215865e-14,5.380410219835649e-17,1.587692061021109e-17,4.357544675679374e-16,9.857556781813411e-15,5.380410219835649e-17,5.493909023752909e-14,1.429316854469642e-16,9.296006869671515e-16,1.114367920207094e-14,1.587692061021109e-17,1.429316854469642e-16,5.161131199062802e-14,9.472254032266032e-15,7.074470412076156e-16,4.357544675679374e-16,9.296006869671515e-16,9.472254032266032e-15,9.909704148715778e-14,3.76883398123866e-14,9.857556781813411e-15,1.114367920207094e-14,7.074470412076156e-16,3.76883398123866e-14,9.296773857065423e-14
clockmon_0_0_0_138.0_166.0_166.0,"[0, 0, 0, 138.0, 166.0, 166.0]",4.733162668134185e-14,5.363067510956322e-17,1.84301670219152e-17,4.354237811211087e-16,9.864906001286511e-15,5.363067510956322e-17,5.518354553606408e-14,1.90033258417338e-16,9.1484827530048e-16,1.114927471711911e-14,1.84301670219152e-17,1.90033258417338e-16,5.5115588759962206e-14,1.117057253464709e-14,9.085629818787326e-16,4.354237811211087e-16,9.1484827530048e-16,1.117057253464709e-14,9.816445105046927e-14,3.764642230375497e-14,9.864906001286511e-15,1.114927471711911e-14,9.085629818787326e-16,3.764642230375497e-14,9.288301212973368e-14
clockmon_0_0_0_138.0_166.0_200.0,"[0, 0, 0, 138.0, 166.0, 200.0]",4.7046286824734644e-14,5.369773984128712e-17,2.125351086457207e-17,4.341591736503686e-16,9.856942554051304e-15,5.369773984128712e-17,5.4863034082844104e-14,2.63378031603653e-16,8.942937705017192e-16,1.113304383974298e-14,2.125351086457207e-17,2.63378031603653e-16,5.841286025361371e-14,1.253620188798742e-14,1.18258506288349e-15,4.341591736503686e-16,8.942937705017192e-16,1.253620188798742e-14,9.727006313897457e-14,3.754598619100002e-14,9.856942554051304e-15,1.113304383974298e-14,1.18258506288349e-15,3.754598619100002e-14,9.268035933844691e-14
clockmon_0_0_0_138.0_166.0_30.0,"[0, 0, 0, 138.0, 166.0, 30.0]",4.705590677397242e-14,5.3809409588803826e-17,8.89748292302142e-18,4.384869950318364e-16,9.857893908767828e-15,5.3809409588803826e-17,5.4991618435093336e-14,6.67631527098579e-17,9.586474441422701e-16,1.114663380362237e-14,8.89748292302142e-18,6.67631527098579e-17,4.236563315675533e-14,3.637710767967337e-15,3.226813086249007e-16,4.384869950318364e-16,9.586474441422701e-16,3.637710767967337e-15,1.0223548214660333e-13,3.783813082075992e-14,9.857893908767828e-15,1.114663380362237e-14,3.226813086249007e-16,3.783813082075992e-14,9.318845812699478e-14
clockmon_0_0_0_138.0_166.0_64.0,"[0, 0, 0, 138.0, 166.0, 64.0]",4.7054669977873856e-14,5.380762334347897e-17,1.111700205123808e-17,4.375662323747359e-16,9.857835306602993e-15,5.380762334347897e-17,5.49807048888203e-14,8.618608680182486e-17,9.507402210320483e-16,1.114612321765788e-14,1.111700205123808e-17,8.618608680182486e-17,4.5283418870448346e-14,5.644863801914053e-15,4.311372907147441e-16,4.375662323747359e-16,9.507402210320483e-16,5.644863801914053e-15,1.0118214577972008e-13,3.779354463777607e-14,9.857835306602993e-15,1.114612321765788e-14,4.311372907147441e-16,3.779354463777607e-14,9.31273002971468e-14
clockmon_0_0_0_138.0_166.0_98.0,"[0, 0, 0, 138.0, 166.0, 98.0]",4.7056952703533144e-14,5.380658649142799e-17,1.345016963010018e-17,4.366435849411912e-16,9.85807528262651e-15,5.380658649142799e-17,5.4965555087243476e-14,1.107655188656198e-16,9.413496998343978e-16,1.114540499829327e-14,1.345016963010018e-17,1.107655188656198e-16,4.8392767079323255e-14,7.602758923177689e-15,5.54394252789931e-16,4.366435849411912e-16,9.413496998343978e-16,7.602758923177689e-15,1.0012622504128763e-13,3.77443676690182e-14,9.85807528262651e-15,1.114540499829327e-14,5.54394252789931e-16,3.77443676690182e-14,9.305842754792488e-14
clockmon_0_0_0_138.0_200.0_132.0,"[0, 0, 0, 138.0, 200.0, 132.0]",4.704954489927488e-14,6.314680153932939e-17,1.582452792084227e-17,4.354021838434604e-16,9.855506143125694e-15,6.314680153932939e-17,5.841476020058577e-14,1.897150329384607e-16,1.213207554163281e-15,1.25246181938668e-14,1.582452792084227e-17,1.897150329384607e-16,5.1567116083577405e-14,9.46833340859721e-15,6.949071602418596e-16,4.354021838434604e-16,1.213207554163281e-15,9.46833340859721e-15,9.892475021838638e-14,3.761178910248135e-14,9.855506143125694e-15,1.25246181938668e-14,6.949071602418596e-16,3.761178910248135e-14,9.212174127587691e-14
clockmon_0_0_0_138.0_200.0_166.0,"[0, 0, 0, 138.0, 200.0, 166.0]",4.7441760780366624e-14,6.305022645863218e-17,1.844032418551416e-17,4.347911756311817e-16,9.878919761593698e-15,6.305022645863218e-17,5.884729325860666e-14,2.639274262141233e-16,1.189951757678791e-15,1.255816684882362e-14,1.844032418551416e-17,2.639274262141233e-16,5.5350917011656106e-14,1.118575480176059e-14,8.893769797206778e-16,4.347911756311817e-16,1.189951757678791e-15,1.118575480176059e-14,9.802227263543136e-14,3.7587817450947675e-14,9.878919761593698e-15,1.255816684882362e-14,8.893769797206778e-16,3.7587817450947675e-14,9.20556965527459e-14
clockmon_0_0_0_138.0_200.0_200.0,"[0, 0, 0, 138.0, 200.0, 200.0]",4.7039022464735466e-14,6.299504578170361e-17,2.111629947545357e-17,4.338241972958628e-16,9.853669317374254e-15,6.299504578170361e-17,5.830127232106234e-14,3.875335153014858e-16,1.155740838727502e-15,1.250748188074097e-14,2.111629947545357e-17,3.875335153014858e-16,5.832707504465069e-14,1.252602100519661e-14,1.150033299904475e-15,4.338241972958628e-16,1.155740838727502e-15,1.252602100519661e-14,9.711256517198642e-14,3.74754787853115e-14,9.853669317374254e-15,1.250748188074097e-14,1.150033299904475e-15,3.74754787853115e-14,9.18486373953977e-14
clockmon_0_0_0_138.0_200.0_30.0,"[0, 0, 0, 138.0, 200.0, 30.0]",4.7049464970206277e-14,6.318601846713967e-17,8.880026176144063e-18,4.3812566258724434e-16,9.855448421797834e-15,6.318601846713967e-17,5.847818839540137e-14,8.224499832748485e-17,1.254165672136872e-15,1.252860150642072e-14,8.880026176144063e-18,8.224499832748485e-17,4.235735043755751e-14,3.637274142948214e-15,3.1856482316090255e-16,4.3812566258724434e-16,1.254165672136872e-15,3.637274142948214e-15,1.0205299047973891e-13,3.775784264619116e-14,9.855448421797834e-15,1.252860150642072e-14,3.1856482316090255e-16,3.775784264619116e-14,9.233518386526018e-14
clockmon_0_0_0_138.0_200.0_64.0,"[0, 0, 0, 138.0, 200.0, 64.0]",4.704823949272476e-14,6.318349295354149e-17,1.109078933744592e-17,4.372154188802474e-16,9.85524586954018e-15,6.318349295354149e-17,5.846348906747492e-14,1.084818804923948e-16,1.243455802550595e-15,1.252793497518541e-14,1.109078933744592e-17,1.084818804923948e-16,4.52694454323773e-14,5.642796041946218e-15,4.251659511121465e-16,4.372154188802474e-16,1.243455802550595e-15,5.642796041946218e-15,1.0100109176215371e-13,3.771418035642083e-14,9.85524586954018e-15,1.252793497518541e-14,4.251659511121465e-16,3.771418035642083e-14,9.22755398264497e-14
clockmon_0_0_0_138.0_200.0_98.0,"[0, 0, 0, 138.0, 200.0, 98.0]",4.704977303929928e-14,6.317777164364919e-17,1.342356327283934e-17,4.3626345833791956e-16,9.855104186653158e-15,6.317777164364919e-17,5.842380118232338e-14,1.422987237726889e-16,1.23007965321356e-15,1.2525839937137728e-14,1.342356327283934e-17,1.422987237726889e-16,4.8368509436799336e-14,7.599504642255049e-15,5.458073195041003e-16,4.3626345833791956e-16,1.23007965321356e-15,7.599504642255049e-15,9.995089072438178e-14,3.7665301686957304e-14,9.855104186653158e-15,1.2525839937137728e-14,5.458073195041003e-16,3.7665301686957304e-14,9.220817846828611e-14
clockmon_0_0_0_138.0_30.0_132.0,"[0, 0, 0, 138.0, 30.0, 132.0]",4.707911298298989e-14,2.287892207327367e-17,1.6007655685578426e-17,4.365346722819864e-16,9.86964549871316e-15,2.287892207327367e-17,4.2359985677867524e-14,5.526985384444981e-17,3.287219616334114e-16,3.631839632940379e-15,1.6007655685578426e-17,5.526985384444981e-17,5.1671404338040935e-14,9.47654665622635e-15,7.392390673816814e-16,4.365346722819864e-16,3.287219616334114e-16,9.47654665622635e-15,9.944487397291082e-14,3.7912102176807634e-14,9.86964549871316e-15,3.631839632940379e-15,7.392390673816814e-16,3.7912102176807634e-14,9.709047316893065e-14
clockmon_0_0_0_138.0_30.0_166.0,"[0, 0, 0, 138.0, 30.0, 166.0]",4.7361900123923376e-14,2.284711663178146e-17,1.860647871643007e-17,4.360517031098322e-16,9.876817394949342e-15,2.284711663178146e-17,4.259935599073211e-14,6.681797309967768e-17,3.2567156207135743e-16,3.637683921488859e-15,1.860647871643007e-17,6.681797309967768e-17,5.520146880895373e-14,1.117592679568185e-14,9.531223988656823e-16,4.360517031098322e-16,3.2567156207135743e-16,1.117592679568185e-14,9.850961912107716e-14,3.78638408293712e-14,9.876817394949342e-15,3.637683921488859e-15,9.531223988656823e-16,3.78638408293712e-14,9.699964910193741e-14
