key,coupler_width,C11,C12,C13,C21,C22,C23,C31,C32,C33
doublepad_qdast_108.42105263157895,108.42105263157895,2.2358512743208646e-14,1.208408343572485e-14,7.727231661531439e-16,1.208408343572485e-14,1.1243965000186469e-13,3.971091377945127e-14,7.727231661531439e-16,3.971091377945127e-14,1.172854607908493e-13
doublepad_qdast_123.15789473684211,123.15789473684211,2.2853750678305825e-14,1.299040190532777e-14,8.165335943797068e-16,1.299040190532777e-14,1.121336632471968e-13,3.968342738296206e-14,8.165335943797068e-16,3.968342738296206e-14,1.1727010515581602e-13
doublepad_qdast_137.89473684210526,137.89473684210526,2.3358949043759374e-14,1.390137961092775e-14,8.606671995559571e-16,1.390137961092775e-14,1.118199493497363e-13,3.965534007735147e-14,8.606671995559571e-16,3.965534007735147e-14,1.1725469544910697e-13
doublepad_qdast_152.6315789473684,152.6315789473684,2.3875328864410127e-14,1.481486027533244e-14,9.049657101169792e-16,1.481486027533244e-14,1.1150642435488634e-13,3.96279950075342e-14,9.049657101169792e-16,3.96279950075342e-14,1.1723893076009522e-13
doublepad_qdast_167.36842105263156,167.36842105263156,2.4399509012586407e-14,1.573364033741944e-14,9.496883425054977e-16,1.573364033741944e-14,1.1119015762529996e-13,3.96013882842887e-14,9.496883425054977e-16,3.96013882842887e-14,1.1722296087963858e-13
doublepad_qdast_182.10526315789474,182.10526315789474,2.4920731144744424e-14,1.665108345398113e-14,9.944777745900642e-16,1.665108345398113e-14,1.1087328759191698e-13,3.957445883612341e-14,9.944777745900642e-16,3.957445883612341e-14,1.1720711061845662e-13
doublepad_qdast_196.8421052631579,196.8421052631579,2.5454586629886395e-14,1.75716540287047e-14,1.039555399145445e-15,1.75716540287047e-14,1.1055379698118628e-13,3.954710371035302e-14,1.039555399145445e-15,3.954710371035302e-14,1.1719068560013912e-13
doublepad_qdast_20.0,20.0,1.9624961246518612e-14,6.751328927830386e-15,5.209250618048941e-16,6.751328927830386e-15,1.1412141613920042e-13,3.98624074398596e-14,5.209250618048941e-16,3.98624074398596e-14,1.173338382102633e-13
doublepad_qdast_211.57894736842104,211.57894736842104,2.5991560991893635e-14,1.849593151920438e-14,1.084804944820887e-15,1.849593151920438e-14,1.1023068263640862e-13,3.951976166996652e-14,1.084804944820887e-15,3.951976166996652e-14,1.1717525306755507e-13
doublepad_qdast_226.31578947368422,226.31578947368422,2.6534161935411856e-14,1.941860092853452e-14,1.130018135444446e-15,1.941860092853452e-14,1.0990373577751313e-13,3.949179979821694e-14,1.130018135444446e-15,3.949179979821694e-14,1.1715776353704682e-13
doublepad_qdast_241.05263157894737,241.05263157894737,2.708190200010058e-14,2.03426112923868e-14,1.1751118508790028e-15,2.03426112923868e-14,1.095767405859539e-13,3.94639438090333e-14,1.1751118508790028e-15,3.94639438090333e-14,1.171415649630965e-13
doublepad_qdast_255.78947368421052,255.78947368421052,2.7635122966054483e-14,2.127035542835732e-14,1.220554129956559e-15,2.127035542835732e-14,1.0924845125669546e-13,3.943749378260063e-14,1.220554129956559e-15,3.943749378260063e-14,1.171244789970567e-13
doublepad_qdast_270.52631578947364,270.52631578947364,2.819047894989483e-14,2.219998403589827e-14,1.265839929671291e-15,2.219998403589827e-14,1.0891487148434569e-13,3.941027072227883e-14,1.265839929671291e-15,3.941027072227883e-14,1.1710797061389806e-13
doublepad_qdast_285.2631578947368,285.2631578947368,2.8752243807701356e-14,2.312629032094907e-14,1.3111184893812628e-15,2.312629032094907e-14,1.0858260327248803e-13,3.9382781020006405e-14,1.3111184893812628e-15,3.9382781020006405e-14,1.1709117146271792e-13
doublepad_qdast_300.0,300.0,2.9318071796865706e-14,2.405553149931659e-14,1.356485713086351e-15,2.405553149931659e-14,1.0824648911494292e-13,3.9356054951394196e-14,1.356485713086351e-15,3.9356054951394196e-14,1.1707474263615886e-13
doublepad_qdast_34.73684210526316,34.73684210526316,2.0040135981660827e-14,7.612644154218807e-15,5.598834142335855e-16,7.612644154218807e-15,1.1387268355893756e-13,3.9840083611648826e-14,5.598834142335855e-16,3.9840083611648826e-14,1.173328726434032e-13
doublepad_qdast_49.473684210526315,49.473684210526315,2.0475998605667138e-14,8.498184815708106e-15,6.013021262256068e-16,8.498184815708106e-15,1.1359138926648342e-13,3.981352345933938e-14,6.013021262256068e-16,3.981352345933938e-14,1.1731982682822213e-13
doublepad_qdast_64.21052631578948,64.21052631578948,2.093310917751328e-14,9.389503118113855e-15,6.434328904967624e-16,9.389503118113855e-15,1.1332630958841255e-13,3.979061552402311e-14,6.434328904967624e-16,3.979061552402311e-14,1.1732875595714157e-13
doublepad_qdast_78.94736842105263,78.94736842105263,2.1399283441649018e-14,1.028113561818199e-14,6.861120822908853e-16,1.028113561818199e-14,1.1303300996481507e-13,3.976376724926593e-14,6.861120822908853e-16,3.976376724926593e-14,1.173141194414231e-13
doublepad_qdast_93.68421052631578,93.68421052631578,2.1875230343809388e-14,1.117790512274163e-14,7.289686665424333e-16,1.117790512274163e-14,1.1273992563643547e-13,3.973710009256811e-14,7.289686665424333e-16,3.973710009256811e-14,1.1729993657915197e-13
