key,finger_control,C11,C12,C21,C22
digittee_1.04,1.04,5.6418642063034933e-14,1.626322206228476e-15,1.626322206228476e-15,3.7524139693531173e-14
digittee_1.08,1.08,5.659033416734748e-14,1.715203393119038e-15,1.715203393119038e-15,3.7745554303100267e-14
digittee_1.0,1.0,5.620420003700193e-14,1.543675045670545e-15,1.543675045670545e-15,3.734148484416584e-14
digittee_1.12,1.12,5.680667279585972e-14,1.810435209246732e-15,1.810435209246732e-15,3.796556557325458e-14
digittee_1.16,1.16,5.700465975217703e-14,1.914169081806985e-15,1.914169081806985e-15,3.8179094591704497e-14
digittee_1.24,1.24,5.752691003547493e-14,2.148031864236129e-15,2.148031864236129e-15,3.869507033150311e-14
digittee_1.28,1.28,5.779568189960976e-14,2.282678339260158e-15,2.282678339260158e-15,3.897419812746227e-14
digittee_1.2,1.2,5.726991332519615e-14,2.026594679466029e-15,2.026594679466029e-15,3.844044241847385e-14
digittee_1.32,1.32,5.806604672449859e-14,2.43708591697302e-15,2.43708591697302e-15,3.9245173191572556e-14
digittee_1.3599999999999999,1.3599999999999999,5.833034798724162e-14,2.616579348646606e-15,2.616579348646606e-15,3.951692720608613e-14
digittee_1.44,1.44,5.88118859376155e-14,3.059476374618944e-15,3.059476374618944e-15,4.004557326061399e-14
digittee_1.48,1.48,5.904982415998106e-14,3.326978870729985e-15,3.326978870729985e-15,4.030316613269238e-14
digittee_1.4,1.4,5.858669973444431e-14,2.823883652370179e-15,2.823883652370179e-15,3.978144970442625e-14
digittee_1.52,1.52,5.924872624516926e-14,3.609439203207672e-15,3.609439203207672e-15,4.051688205646147e-14
digittee_1.56,1.56,5.940528973623326e-14,3.882099118918529e-15,3.882099118918529e-15,4.069688827919445e-14
digittee_1.6400000000000001,1.6400000000000001,5.973130847174516e-14,4.446103730976322e-15,4.446103730976322e-15,4.105596122872905e-14
digittee_1.6800000000000002,1.6800000000000002,5.992865602597485e-14,4.734892030286092e-15,4.734892030286092e-15,4.124222628635445e-14
