key,finger_control,C11,C12,C21,C22
finger_capacitor_1.07,1.07,2.149951393517304e-14,1.571192377202979e-15,1.571192377202979e-15,2.150031121610268e-14
finger_capacitor_1.0,1.0,2.115886251945582e-14,1.4244352847488123e-15,1.4244352847488123e-15,2.1162382975967117e-14
finger_capacitor_1.1400000000000001,1.1400000000000001,2.1887255274952764e-14,1.739547518612047e-15,1.739547518612047e-15,2.1891699702927433e-14
finger_capacitor_1.21,1.21,2.229436335142728e-14,1.92641625740001e-15,1.92641625740001e-15,2.2294519651764282e-14
finger_capacitor_1.28,1.28,2.2750176192553028e-14,2.148904071056323e-15,2.148904071056323e-15,2.275060136588574e-14
finger_capacitor_1.35,1.35,2.327333370886463e-14,2.433828841744832e-15,2.433828841744832e-15,2.327333681174612e-14
finger_capacitor_1.42,1.42,2.3748285148020607e-14,2.794860404965354e-15,2.794860404965354e-15,2.3748665925092126e-14
finger_capacitor_1.49,1.49,2.4181744387304583e-14,3.244827844876977e-15,3.244827844876977e-15,2.4181180799700333e-14
finger_capacitor_1.56,1.56,2.4535347904179786e-14,3.724228988444484e-15,3.724228988444484e-15,2.4535453849623485e-14
finger_capacitor_1.6300000000000001,1.6300000000000001,2.485133907030693e-14,4.211315780894454e-15,4.211315780894454e-15,2.4851480011850677e-14
finger_capacitor_1.7000000000000002,1.7000000000000002,2.5189222367437405e-14,4.712766889893262e-15,4.712766889893262e-15,2.518943564334908e-14
finger_capacitor_1.77,1.77,2.555627349874354e-14,5.231377521769096e-15,5.231377521769096e-15,2.555598862681507e-14
finger_capacitor_1.84,1.84,2.5967926017171896e-14,5.764849580430295e-15,5.764849580430295e-15,2.5967770178758317e-14
finger_capacitor_1.9100000000000001,1.9100000000000001,2.643694904505617e-14,6.33105402966152e-15,6.33105402966152e-15,2.644056179521511e-14
finger_capacitor_1.98,1.98,2.6918907368725024e-14,6.918174457574986e-15,6.918174457574986e-15,2.6918830882999296e-14
finger_capacitor_2.05,2.05,2.7532290434032344e-14,7.557459815980313e-15,7.557459815980313e-15,2.7530799221266395e-14
finger_capacitor_2.12,2.12,2.8129142246290477e-14,8.230527234926911e-15,8.230527234926911e-15,2.8127182445806374e-14
finger_capacitor_2.1900000000000004,2.1900000000000004,2.873400106824679e-14,8.964270889756059e-15,8.964270889756059e-15,2.8731789118685733e-14
finger_capacitor_2.2600000000000002,2.2600000000000002,2.9302471394488275e-14,9.776603416823033e-15,9.776603416823033e-15,2.929869531916165e-14
finger_capacitor_2.33,2.33,2.981218580767589e-14,1.0705576829876061e-14,1.0705576829876061e-14,2.9810584817147365e-14
finger_capacitor_2.4000000000000004,2.4000000000000004,3.029014248638381e-14,1.175106743819826e-14,1.175106743819826e-14,3.028995268873036e-14
finger_capacitor_2.47,2.47,3.078057785495629e-14,1.287160410467966e-14,1.287160410467966e-14,3.077947044260103e-14
finger_capacitor_2.54,2.54,3.1266934404252994e-14,1.403700045648395e-14,1.403700045648395e-14,3.127048766432499e-14
finger_capacitor_2.6100000000000003,2.6100000000000003,3.1788440406640795e-14,1.524363491413313e-14,1.524363491413313e-14,3.178820415769296e-14
finger_capacitor_2.68,2.68,3.231665436893475e-14,1.646597705565206e-14,1.646597705565206e-14,3.231754797717161e-14
finger_capacitor_2.75,2.75,3.288573259337221e-14,1.760819655091037e-14,1.760819655091037e-14,3.288557546201607e-14
finger_capacitor_2.8200000000000003,2.8200000000000003,3.3301867547972615e-14,1.853222238771934e-14,1.853222238771934e-14,3.3302229752613305e-14
finger_capacitor_2.89,2.89,3.388941196423216e-14,1.951450976506184e-14,1.951450976506184e-14,3.3882629916643425e-14
finger_capacitor_2.96,2.96,3.450995523894487e-14,2.051157854122665e-14,2.051157854122665e-14,3.451951720530808e-14
finger_capacitor_3.0300000000000002,3.0300000000000002,3.525736108087994e-14,2.155479201803419e-14,2.155479201803419e-14,3.525807936681789e-14
finger_capacitor_3.1700000000000004,3.1700000000000004,3.673396176768243e-14,2.387131094061076e-14,2.387131094061076e-14,3.672955603833937e-14
finger_capacitor_3.1,3.1,3.605928136621716e-14,2.2684903924477608e-14,2.2684903924477608e-14,3.606072152003589e-14
finger_capacitor_3.24,3.24,3.733397761555578e-14,2.524374998961873e-14,2.524374998961873e-14,3.7334534766705174e-14
finger_capacitor_3.31,3.31,3.7865277082030647e-14,2.679676029701974e-14,2.679676029701974e-14,3.7865701666166306e-14
finger_capacitor_3.3800000000000003,3.3800000000000003,3.839207106730247e-14,2.846359487809099e-14,2.846359487809099e-14,3.839065830938496e-14
finger_capacitor_3.45,3.45,3.888092222020747e-14,3.016570319024785e-14,3.016570319024785e-14,3.88807380450756e-14
finger_capacitor_3.5200000000000005,3.5200000000000005,3.937274864193756e-14,3.193056626913511e-14,3.193056626913511e-14,3.937043231683131e-14
finger_capacitor_3.5900000000000003,3.5900000000000003,3.988487257673014e-14,3.373270280162619e-14,3.373270280162619e-14,3.988247838004815e-14
finger_capacitor_3.66,3.66,4.0363260569066483e-14,3.550379972375352e-14,3.550379972375352e-14,4.036304162970114e-14
finger_capacitor_3.7300000000000004,3.7300000000000004,4.0960900714262714e-14,3.733329408936624e-14,3.733329408936624e-14,4.0954207781767813e-14
finger_capacitor_3.8000000000000003,3.8000000000000003,4.168755019756484e-14,3.917653850321406e-14,3.917653850321406e-14,4.168407216348034e-14
finger_capacitor_3.87,3.87,4.227683768218101e-14,4.056732808626443e-14,4.056732808626443e-14,4.2269995262786083e-14
finger_capacitor_3.9400000000000004,3.9400000000000004,4.299271810500875e-14,4.194734537139337e-14,4.194734537139337e-14,4.298930922201581e-14
finger_capacitor_4.01,4.01,4.3791486881880196e-14,4.335483970966959e-14,4.335483970966959e-14,4.378224113456768e-14
finger_capacitor_4.08,4.08,4.471388002778057e-14,4.488887672791335e-14,4.488887672791335e-14,4.471091641127507e-14
finger_capacitor_4.15,4.15,4.5500781390397556e-14,4.657964612467518e-14,4.657964612467518e-14,4.548970599967603e-14
finger_capacitor_4.220000000000001,4.220000000000001,4.613095540171202e-14,4.856385801598161e-14,4.856385801598161e-14,4.613530939907336e-14
finger_capacitor_4.290000000000001,4.290000000000001,4.6672761156666545e-14,5.069802280940898e-14,5.069802280940898e-14,4.6678937121571914e-14
finger_capacitor_4.36,4.36,4.718111382541193e-14,5.289686552405347e-14,5.289686552405347e-14,4.7175129755784334e-14
finger_capacitor_4.43,4.43,4.768161300445404e-14,5.518158325076476e-14,5.518158325076476e-14,4.7688006215517944e-14
finger_capacitor_4.57,4.57,4.8691490719147085e-14,5.988626617364911e-14,5.988626617364911e-14,4.8691266844563085e-14
finger_capacitor_4.5,4.5,4.819163998538351e-14,5.751441642117999e-14,5.751441642117999e-14,4.8186234419160804e-14
finger_capacitor_4.640000000000001,4.640000000000001,4.924504703689238e-14,6.233762851082432e-14,6.233762851082432e-14,4.924268259622588e-14
finger_capacitor_4.710000000000001,4.710000000000001,4.982411572440253e-14,6.477359216277836e-14,6.477359216277836e-14,4.980514117097394e-14
finger_capacitor_4.78,4.78,5.047034143725759e-14,6.72045747143808e-14,6.72045747143808e-14,5.047311477921569e-14
finger_capacitor_4.8500000000000005,4.8500000000000005,5.1215595342668176e-14,6.951039535564612e-14,6.951039535564612e-14,5.1214864854411787e-14
finger_capacitor_4.92,4.92,5.197698304601656e-14,7.132149778614694e-14,7.132149778614694e-14,5.197624872296675e-14
finger_capacitor_4.99,4.99,5.28517454522867e-14,7.312588655284421e-14,7.312588655284421e-14,5.28576930203316e-14
finger_capacitor_5.0600000000000005,5.0600000000000005,5.392406620196144e-14,7.505556012285485e-14,7.505556012285485e-14,5.392519703502106e-14
finger_capacitor_5.130000000000001,5.130000000000001,5.4831225482681425e-14,7.723195060873678e-14,7.723195060873678e-14,5.483192793609203e-14
finger_capacitor_5.2700000000000005,5.2700000000000005,5.6025427673968475e-14,8.242862836428121e-14,8.242862836428121e-14,5.601643052856991e-14
finger_capacitor_5.2,5.2,5.5446709501848606e-14,7.972517487603488e-14,7.972517487603488e-14,5.543675714537241e-14
finger_capacitor_5.340000000000001,5.340000000000001,5.656476250450409e-14,8.521532472856881e-14,8.521532472856881e-14,5.65647601876782e-14
finger_capacitor_5.41,5.41,5.707860998223057e-14,8.805705258092513e-14,8.805705258092513e-14,5.708385827958588e-14
finger_capacitor_5.48,5.48,5.759895276561882e-14,9.095251818045937e-14,9.095251818045937e-14,5.760225541190113e-14
finger_capacitor_5.550000000000001,5.550000000000001,5.811090885885313e-14,9.385319842586276e-14,9.385319842586276e-14,5.811371659299683e-14
finger_capacitor_5.62,5.62,5.874148360475286e-14,9.698417850154683e-14,9.698417850154683e-14,5.873466570192846e-14
finger_capacitor_5.69,5.69,5.919409399017693e-14,9.986116842356677e-14,9.986116842356677e-14,5.919284519945353e-14
finger_capacitor_5.760000000000001,5.760000000000001,5.990476197708001e-14,1.03053153897434e-13,1.03053153897434e-13,5.990238750627632e-14
finger_capacitor_5.83,5.83,6.06532604330321e-14,1.060637874857228e-13,1.060637874857228e-13,6.064360328135051e-14
finger_capacitor_5.970000000000001,5.970000000000001,6.23851889414355e-14,1.108473005415099e-13,1.108473005415099e-13,6.23889240497002e-14
finger_capacitor_5.9,5.9,6.150999535814991e-14,1.086803420508791e-13,1.086803420508791e-13,6.15111697419554e-14
finger_capacitor_6.040000000000001,6.040000000000001,6.3578207389018e-14,1.131777697796226e-13,1.131777697796226e-13,6.35819565032461e-14
finger_capacitor_6.11,6.11,6.460322702135438e-14,1.157798113131008e-13,1.157798113131008e-13,6.459937117560871e-14
finger_capacitor_6.180000000000001,6.180000000000001,6.530340825302899e-14,1.188317314377824e-13,1.188317314377824e-13,6.529793405172501e-14
finger_capacitor_6.250000000000001,6.250000000000001,6.590124328010261e-14,1.221076108972591e-13,1.221076108972591e-13,6.589497491537131e-14
finger_capacitor_6.32,6.32,6.645670287974839e-14,1.254672637284535e-13,1.254672637284535e-13,6.6453545221049e-14
finger_capacitor_6.390000000000001,6.390000000000001,6.697436504908556e-14,1.288863645093443e-13,1.288863645093443e-13,6.69756363424678e-14
finger_capacitor_6.460000000000001,6.460000000000001,6.75039653641045e-14,1.323494800774983e-13,1.323494800774983e-13,6.750297902893263e-14
finger_capacitor_6.53,6.53,6.803214844446749e-14,1.358634474991179e-13,1.358634474991179e-13,6.802790585002871e-14
finger_capacitor_6.6000000000000005,6.6000000000000005,6.85628589814821e-14,1.39425108818219e-13,1.39425108818219e-13,6.85666745649473e-14
finger_capacitor_6.670000000000001,6.670000000000001,6.911465811453089e-14,1.43028447942797e-13,1.43028447942797e-13,6.9127038583457e-14
finger_capacitor_6.74,6.74,6.9704244228756e-14,1.466702417760439e-13,1.466702417760439e-13,6.97053778895203e-14
finger_capacitor_6.8100000000000005,6.8100000000000005,7.036698436892649e-14,1.502909997150364e-13,1.502909997150364e-13,7.03747203305648e-14
finger_capacitor_6.880000000000001,6.880000000000001,7.125067439817861e-14,1.538196762393095e-13,1.538196762393095e-13,7.12680819845551e-14
finger_capacitor_6.95,6.95,7.22158251158133e-14,1.565469278223853e-13,1.565469278223853e-13,7.220512334650368e-14
finger_capacitor_7.0200000000000005,7.0200000000000005,7.343046942678499e-14,1.592033110749777e-13,1.592033110749777e-13,7.340472549856213e-14
finger_capacitor_7.090000000000001,7.090000000000001,7.462996546692597e-14,1.621996314739009e-13,1.621996314739009e-13,7.463615354883939e-14
finger_capacitor_7.16,7.16,7.541227437239158e-14,1.658105842059174e-13,1.658105842059174e-13,7.541026379769369e-14
finger_capacitor_7.23,7.23,7.592197424208031e-14,1.692542867165525e-13,1.692542867165525e-13,7.592131632628187e-14
finger_capacitor_7.300000000000001,7.300000000000001,7.649802487824953e-14,1.731672892370404e-13,1.731672892370404e-13,7.65058919106469e-14
finger_capacitor_7.370000000000001,7.370000000000001,7.704028386583788e-14,1.771072039794617e-13,1.771072039794617e-13,7.70431986533514e-14
